item,rent,area,floor,max_floor,deposit,distance,fridge,washing_machine,tv,air_conditioner,water_heater,bed,closet,cable,internet,gas,sofa,table,balcony,elevator,park,electric_bill,water_bill,other_bill,garbage_bill,city,link
1,8500,6,4,5,2,408,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,https://rent.591.com.tw/17523650
2,8500,5,4,4,2,115,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17511550
3,9900,6.5,4,4,2,39,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,5,0,0,0,1,https://rent.591.com.tw/17563422
4,9500,7,3,5,2,178,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,5,0,0,0,1,https://rent.591.com.tw/17541861
5,9500,6,2,5,2,373,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,5,0,0,0,1,https://rent.591.com.tw/17607563
6,8500,5,1,5,2,431,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17525034
7,9500,7,2,4,1,950,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17518097
8,7900,6,6,6,2,424,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,5,0,0,0,1,https://rent.591.com.tw/17473923
9,7500,5,4,4,2,577,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,5,100,0,0,1,https://rent.591.com.tw/17294440
10,8000,5,2,5,2,121,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17624429
11,9000,6,1,5,2,93,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,5,100,0,0,1,https://rent.591.com.tw/17510182
12,8000,6,3,4,2,202,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,5,100,1600,650,1,https://rent.591.com.tw/17642681
13,8000,5,2,5,2,348,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,6,0,0,0,1,https://rent.591.com.tw/17557030
14,10000,6,4,5,2,551,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17525387
15,10000,8,-1,7,2,296,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,5,100,100,0,1,https://rent.591.com.tw/17559726
16,9000,5,6,5,2,322,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,6,0,0,0,1,https://rent.591.com.tw/17551171
17,9995,8,3,5,2,390,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,5,0,0,0,1,https://rent.591.com.tw/17537701
18,10000,7,-1,4,2,394,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17528158
19,9499,5,-1,4,2,394,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17495402
20,7500,5,2,5,1,361,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,5,0,0,0,2,https://rent.591.com.tw/17617875
21,9500,7,4,4,2,699,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,6,0,0,0,2,https://rent.591.com.tw/17640057
22,9000,7,2,3,2,436,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,5,0,0,0,2,https://rent.591.com.tw/17558433
23,8700,8,4,5,2,274,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,5,0,0,0,2,https://rent.591.com.tw/17567278
24,8500,8,5,5,2,545,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,5,0,0,0,2,https://rent.591.com.tw/17569077
25,8000,5,5,5,2,546,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,5,0,0,0,1,https://rent.591.com.tw/17612420
26,10000,6,4,5,2,256,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,5,100,0,0,1,https://rent.591.com.tw/17483362
